Comments,Up-Votes,Time
여러가지가 복합적으로 적용했을거같음. 울부스 홈이지 펩은 경기전에 pl 경기 쉽다고 실언하지 희찬이 안 그래도 골 많이 넣는데 추석버프 받았지. 하이라이트밖에 안봤지만 맨시티 고구마경기 한거같은데..,,5 days ago
"Guess one bite from Wolves was enough to beat city. Thank you, Wolves!",,5 days ago
I feel like a total muppet for triple captain Haaland,,5 days ago
Anyone else think this manager hugely underrated?,,4 days ago
Big win etc etc. But can't get past how incredibly annoying this commentator's voice is.,3,3 days ago
"This morning someone told me City would become the new invincibles, his claim didn’t even last 10 hours ",2,5 days ago
After a run like that from neto no way wolves can hold on to him come jan.,,5 days ago
I know everyone was thinking it would be Luton to end there unbeaten streak.,,5 days ago
I know everyone was thinking it would be Luton to end there unbeaten streak.,,5 days ago
"Well, thanks for showing the 2 Wolves goals at least. The rest seemed to be Man City highlights, not match highlights.",1,4 days ago
"Had to watch muted, screeching was too much",3,5 days ago
This game is like when you quick sim on fifa and you win with 30% possession and the same number of shots as goals,,5 days ago
I'm a arsenal fan but go on WOLVES!!!!!!,,5 days ago
2 defeats in a row  things you love to see,,4 days ago
What a great result for Wolves and great to see city lose two on the trot.,,2 days ago
That hee chan dude is a good player 1:54,,5 days ago (edited)
It is impossible to listen to this woman's squeal. I'm watching this video without sound,3,5 days ago
I feel like 90% of the footballing fanbase celebrated with the wolves team  here,1,5 days ago
Thanks you wolves. Invincible will never be topped,,5 days ago
Great win let's see if we play like this next game,,5 days ago
Neto is decent. Wolves will do well to keep a hold of him,,4 days ago
Up the wolves,,5 days ago
Wolves by far the better team.,3,5 days ago
Gary O'neil is incredible,,5 days ago
"Sa, one of the best keepers in the world... hands down",,5 days ago
Why wasn't Hwang Hee-Chan sent off? and the second challenge wasn't even a yellow card?,,3 days ago
after hearing the commentary I can confirm CIty are the leaders of the league,1,3 days ago
It must ave been tha bus ride from Newcastle  cmon the mighty wolves. Always wolves.,,5 days ago
This commentator is awful….,4,5 days ago
"Wolves got more than lucky today, they got insanely lucky, only 1 chances and managed to get 2 goals lol there kg was like 0.3 ",,4 days ago
State of Akanji on the second goal,,4 days ago
"I'm calling Tottenham to win the season undefeated from here, the real invincibles. Solidifying their place as the best ever team from North London.",,4 days ago
This is why the premier league is so good.,,5 days ago
I still can’t believe we actually won ,,5 days ago
Get horrid Henry off commentary,3,5 days ago
losing to Newcastle really knocked them off axis,,4 days ago
Wolves deserved the win unfortunately it pains me too say!! I am sure city will be back come on you blues,,5 days ago
0:21 the 'your teeth are offside' chants ,,4 days ago
"I was there, what a magical night",1,5 days ago
Neto is some player. Amazing.,,5 days ago
fire this commentator,4,5 days ago
As a wolves fan from 1968 iam happy & having a beer ,,5 days ago
Was about 10 metres away from pep (wolves supporter) got some absolute mugs of him,1,5 days ago
"A Wolves fan from early fifties.[I AM that old...] Er, WOOOOW!!!",,5 days ago
At last we have Neto 100% fit,1,5 days ago
Wolves should have won at Old Traffird too. They are a good side with quality players like Neto.,,4 days ago (edited)
Is that a little kid commentating?,3,5 days ago
Massive advantage now to Liverpool who can go top of the league if they can win against Spurs today and a confidence knock for City with the Arsenal match coming up with no Rodri and no KDB,,5 days ago
I'm a canary fan.....Have to say we'll done to wolves ...I enjoy watching the so called big teams get beaten....was a very good day yesterday....with man u Liverpool also losing ....and canaries winning....happy days ... Melanie 33 ,,4 days ago
Don’t get me wrong I’m over the moon that we won. But how the hell have we gone from loosing to bloody ipswitch to beating the treble winners in less than a week? ,,5 days ago
Pedro neto is getting to the level he was a couple of years ago before he got injured As an Arsenal fan I would love to get him he is a player!,,4 days ago
Wolves had 1 shot on target and won 2-1 that's mad ,1,5 days ago
"Soon as I heard the female commentator, I sighed",3,5 days ago
Have a great Saturday night Wolves fans.,,5 days ago
"When tica taka turns to lumping floaty crosses from the halfway line after 20mins your obviously defending brilliantly.
Also never a foul for their free kick which ended with a goal.
City never looked liked scoring no matter how much oil they pumped to the FA’s pocket",,5 days ago
Wolves is Man City’s Kryptonite,1,5 days ago
Great stuff wolves from Newcastle fan here,1,5 days ago
Les go wolves ,1,5 days ago
Do we have to have female commentators? Hurts my ears.,3,5 days ago
Pedro Neto is absolutely class,,3 days ago
"From an arsenal fan, thank you so much ",,5 days ago
Bad day to triple captain Haaland! :(,1,5 days ago
"Well done wolves great result, if Liverpool beat spurs perfect day",,5 days ago
Phil Foden..strolling on that first one,,5 days ago
Woman commentator. Why don't they stick to their own games. It likes a man commentating on a Net Ball game. Great win for Wolves.,3,4 days ago
It’s that time of year where Man City lose to a bottom half team and give us that false sense of security that we might have a title race on our hands… then go on a 15 game win streak and just dominate the league again ,,4 days ago
"Think any non man city fan will just be happy to finally see them lose! Well done Wolves!!

- forest fan",,5 days ago (edited)
"Only wolves could be shocking this season and still beat man city, most wolves thing ever",,5 days ago
So they didn't show the blatant yellow card that should of seen the wolves striker sent off before he scored the winner,,4 days ago
This just shows even titans like city can lose in the pl,2,5 days ago
'The korean guy',3,5 days ago
didn’t even know it was possible for man city to lose a game of football,,5 days ago
"Vamo Juli, que joya que sos!!! ",,5 days ago
"Halaands game is so weird, if he scores, it’s just want he does, but if he doesn’t, is he the right fit for Chelsea because he barely touches the ball etc etc",1,5 days ago
A reminder of any team can beat any team in PL.,,5 days ago
fair play wolves,,5 days ago
Screeching women commentators are the worst,3,5 days ago
Thank you wolves,1,5 days ago
"It looks like it's going to be an open premier league this time, pity it has taken billions to achieve it.",,4 days ago
No Rodri no problem they told us.,1,5 days ago
As a arsenal supporter im so glad wolves won,,5 days ago
Does this mean Wolves is the best team in Europe now,,5 days ago
robbed by the refs but no one will talk about it,3,5 days ago
The pass for the second goal >>>>,,5 days ago
Wolves lost to Ipswich the other night so to pick themselves up after that and retake the lead takes real character,,5 days ago
Wolves are soo good but Man City need to do better after losing to Newcastle and now wolves,,5 days ago
"Pep Guardiola talking about the game: ""neto, cunha and the korean guy""
Hwang Lee: ""and I took that personally""",,5 days ago
That moment when city lose before Arsenal or Tottenham ,,4 days ago
Female commentary...,4,5 days ago
"Without Rodri, Bernardo Silva and Kevin de Bruyne, Man City shows its cracks.",,5 days ago
Pedro neto run was class,,5 days ago
Easy one for Wolves,1,5 days ago
Forest fan. Too city fans don't say that was luck for wolves they fully deserved that win,,5 days ago
Shoulda been 5-0 to Wolves,2,5 days ago
Commentary was dead,3,5 days ago
Wolves needs more high quality players,,5 days ago
"Good win today, but i really cant see it lasting with this manager in charge",,4 days ago
(im a arsenal fan) but COME WOLVESS,1,5 days ago
Neto's a baller,,4 days ago
No one talking about hwang not being sent off?,,4 days ago
Please end women commentary,3,5 days ago
What a day for all Gunners ,,5 days ago
"Ngl, Ederson really needs to improve his game. Compare to Jose Sa for example, made loads of saves from loads of shots. And wolves had one shot, and it went in",,5 days ago
Pedro Neto my baller! ,,4 days ago
I want to laugh at City losing to Wolves but I'm a Chelsea fan ,,5 days ago
Yes lil hope for us gunners ,,5 days ago
Is there any other place to watch highlights ?. The ladies voice piercing my ears.,3,5 days ago (edited)
Wagstaff would of enjoyed the first goal !,,5 days ago
Thank you wolves,,4 days ago
Haaland doing up Casper the Ghost yet again,,5 days ago
"Lol forget the opposition, when i saw wolves scored two, I knew both had to be deflections of some sort ...still waiting for them to score a clean goal, probably have i have just missed it.",,5 days ago
WOLVES ON TOP ,,5 days ago
Not trying to be sexist but god forbid they have her on commentary again. My ears are still ringing.,3,5 days ago
Craig Dawson and Sven Botman are the types of defenders that can stop Haaland by bullying him and being more physical.  He is very poor when faced with people that have similar strength to him.,1,5 days ago
Citypool is back and I'm here for it,1,5 days ago
"How many times did she need to repeat that Man City were the league leaders. Like yes, we know",,4 days ago
Neto back on form now after that bad knee injury .doesnt seem to have lost any pace either .he wont be at wolves much longer,,5 days ago
Triple captain Haaland for this match,,5 days ago
commentary awful,3,5 days ago
Neto quality tore them to shreds,,3 days ago
